Časová značka;Discord name;Link(s) to contribution(s) (discord post, tweet,...);Mainnet (StarkNet) address;How did you contribute?;;;Marek Notes;POINTS;NOTES
3/20/2023 17:24:48;bauribisnu27#5712;Yes;0x062858afa9fD7847D7b0c9C550358b5CC84adEDF987F5c6B03Adc4F248775b40;I wrote an article, I created image/video with Carmine Options AMM theme, I created infographics, I created a twitter thread explaining what Carmine Options AMM is;;;;0;Twitter section is empty
3/20/2023 17:28:29;Lyskey#2396;https://starknetroundup.substack.com/p/starknet-roundup-57;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;I mentionned Carmine in my newsletter edition ;;;;5;
3/20/2023 17:36:57;Ben_z#2628;N/A;0x01fc36Cc215278D43B44f88208D0790B6560ac5Dc09d6b163861f0ab9016FeBD;I contribute in your testnet platform i try its features the transation are very slow .;;;;0;Twitter section is empty
3/20/2023 18:11:37;ishu#1296;;0x04651E936FC70b2b517c59e70157b7d9304eD3f773DF2F0e14Fdbae41BEC3577;I wrote an article, I created image/video with Carmine Options AMM theme, I created infographics, I created a twitter thread explaining what Carmine Options AMM is;;;;0;Twitter section is empty
3/20/2023 18:23:07;White RUN#3391;https://discord.com/channels/969228248552706078/969228248552706081/1087425371764441280;0x06E1E05A1bCEA6561E9F307046E66E44aE9fE833EcC740337A81158a2CF9e639;I created a twitter thread explaining what Carmine Options AMM is;;;;0;Wrong link
3/20/2023 18:43:56;Habib287👑#8841;N/A;0x06F4763005d18eb47717105bc81486b2a4b5dA237575686f98EEb7c683045A29;I wrote an article;;;;0;Twitter section is empty
3/20/2023 18:58:56;AkashFF99#0587;https://twitter.com/AkashKTM390/status/1637876271001608194?s=20;0x019163DAABF9D11097970b2C63DB07C6fE197B1F28A337B1C28624838240d35d;https://twitter.com/AkashKTM390/status/1637876271001608194?s=20;;;;2;
3/20/2023 21:14:29;Aj0031#3317;;0x03E647d71314169387373BEC1AAd691a985c6Be5901dE8a310DAaf7089EFBB32;I wrote an article, I created a twitter thread explaining what Carmine Options AMM is;;;;0;Twitter section is empty
3/20/2023 22:10:35;khanfaisal2003#7329;;0x31aceb941dd8941cbe10c6d97dc2372cf871ddbc7816a3601da0d4aa049069b;I wrote an article, I created image/video with Carmine Options AMM theme, I created infographics, I created a twitter thread explaining what Carmine Options AMM is, ;;;;0;Twitter section is empty
3/21/2023 8:38:30;rudra234#3646;;0x0742E30491125b552315F023B29ea790362349371A8a8b0649DF4A5569FC3b62;give a feedback in discord about the project;;;;0;Twitter section is empty
3/21/2023 10:01:00;subhajitpaul#2597;;0x0476CA842dFb8fBe418b54D6c1a9DFc455f0eF0d629Af488228FEC45Eb1D71CA;I created a twitter thread explaining what Carmine Options AMM is;;;;0;Twitter section is empty
3/21/2023 11:30:01;vinayy50861#7513;;0x01c07da3684ec80d15136732F12B28e41e4cFdB80cfA921EC9a7292985387ae5;;;;;0;Twitter section is empty
3/21/2023 11:31:49;Vinay108#1830;;0x0433EE813E2c41d11aD52Ce1322430899F1e98ec7CC03328d727a786AB5F2439;I wrote an article;;;;0;Twitter section is empty
3/21/2023 15:17:02;Hellboy#9179;https://twitter.com/Abhijit99531960/status/1638182855959347200?s=20;0x04c41e43568B5259B9DC63276999A459E8798fdE89EC332b308d1047BC634dd3;I wrote an article;;;;1;Commented on Carmine's twitter post
3/21/2023 17:19:36;Raj264#5121;https://twitter.com/RajChouhan264/status/1638213264948486146?s=20;0x056c4a1D93083BAb8425D86b6d9F784df447e2DB53C6D0AC9Cc7599A604f78D3;I created a twitter thread explaining what Carmine Options AMM is;;;;2;Shared someone else's video
3/21/2023 20:28:20;asfak#9441;https://twitter.com/AltafAsfak/status/1638260916897878016?t=JV1AxIMmVNeq1TZ-1d_oRg&s=19;0x065dFbAC070cA28680E253B4B3b62EaaA9cC9Ee8Aa0E5Cf2cb80Fc58109a5309;I wrote an article;;;;2;
3/21/2023 21:29:57;VoltuDx#5490;https://twitter.com/VoltuDx/status/1638276537186398208?t=HBTfpSps9sDR-VNn3TjqyA&s=19;0x05063C434dD84C4F5345fe3b08EE6a2D3a5D2fdcB7470FEAFa79636e42B41CeA;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/21/2023 21:42:33;Gianluca#1934;https://twitter.com/Giani91/status/1638279589259628563?s=20;0x06f1d53BAec701897B53ad1920Fbe5a0B91e2532447C2Fa422B9A3688E433F2a;I wrote an article;;;;0;Carmine twitter address not specified
3/22/2023 7:19:40;ig_aryanb | Sui Global#5250;https://twitter.com/ig_aryanb/status/1638425032794808328?s=20;0x06a549620A22a402A12d92A61481607fAd5A61f2D26Ab6a70416feC764bc57BF;I wrote an article;;;;2;
3/22/2023 8:01:48;duyenhtm#6222;https://twitter.com/duyenhtm/status/1638434800175570944?s=20;0x0230f7e72A73685Ae3B96b52Ea4F3dd6E9e295cF918A58Cf71323b646eBB2409;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/22/2023 8:11:24;🏇 kunalloot#7718;https://discord.com/channels/969228248552706078/1055455042246815774/1087968199699599380;0x008730840a8cEf43B2682E55C2f657ec66714F96D156b0c8b3fba0659Db358AD;I wrote an article;;;;0;Wrong link
3/22/2023 8:16:45;Anand ;https://twitter.com/Anandbaraiya6/status/1638439093662269440?t=VwjW9keNN4Pjwba9vU7ZTQ&s=19;0x0695d0d16237a024727fe367a3ed9769f9433a276Ecb057118e58BA47f1fAdD2;I wrote an article;;;;2;
3/22/2023 8:56:19;Manai#4946;https://twitter.com/noyna20041995/status/1638449323179474944?s=20;0x0644F2Ed77Ef195dC123c0fec6187F6e6100bB654D4a4ee0D4c47e80C9cC8031;I created a twitter thread explaining what Carmine Options AMM is;;;;1;Commented on Carmine's twitter post
3/22/2023 9:24:38;ZahidKashan#5334;https://discord.com/channels/969228248552706078/1055455042246815774/1088014885738254387;0x06Db681F6A158E67A8b86e38bB2317957e9800aC1cdf4b6217d9B86417AA3Bcb;I created image/video with Carmine Options AMM theme;;;;0;Wrong link
3/22/2023 9:29:10;Noyna#7272;https://twitter.com/Manai8250/status/1638457492823785472?s=20;0x000C14502eCC53E00Bd593C4038889690CF0D30e9364D2558340F4db8ECD5434;I test the testnet;;;;1;Commented on Carmine's twitter post
3/22/2023 10:10:05;OlRifat#8440;;0x04b4c7E4f149259CC01FC21739c5185c545bfD6991481d5f626b54e5e8cfD92D;;;;;0;Twitter section is empty
3/22/2023 15:37:45;RAJA 👑#2387;;0x03E79cC71F8805391649041de07251ab7e8FA3068DFb797DbBae3CB856db0bcd;I created infographics;;;;0;Twitter section is empty
3/23/2023 8:11:05;Asadali6527#9427;https://discord.com/channels/969228248552706078/1055455042246815774/1088358598708568104;0x069549A93501B20Bc68Db2dd27BaB6Abc0Abe5DFf99AF37f626cD9487C144da6;I created image/video with Carmine Options AMM theme;;;;0;Wrong link
3/23/2023 10:48:36;Lyskey#2396;https://twitter.com/Starknet_OG/status/1638823270828105728;0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;I created infographics;;;;5;
3/23/2023 10:51:30;Neetu#2231;https://twitter.com/Neetu2231/status/1638840117032005633?s=20;0x0046Af0eCf094161Ef21794E4ca1335e2db7cb87742c5DCd552225afD96B8a1e;I created image/video with Carmine Options AMM theme;;;;2;
3/23/2023 22:14:20;sultanmirza#3830;;0x021C14688da212352dDA142fdcF045E4f914D08E453B4A645E8Cf113CEE72bf8;I created infographics;;;;0;Twitter section is empty
3/24/2023 8:49:10;khkamal | Sui Global#7997;https://twitter.com/KHDAO1/status/1639172420836945921?s=20;0x04434711813b81B6D600340Cf853f0252643F86De8FEd39a8fE9E8D49Bb953Fb;I created a twitter thread explaining what Carmine Options AMM is;;;;2;
